ID	Chr	Pos	Prediction	Prob_methylation
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508489	0	0.1
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508467	0	0.1
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508454	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508449	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508445	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508421	0	0.1
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508409	0	0.1
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508402	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508379	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508377	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508372	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508362	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508347	0	0.1
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508332	0	0.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508330	0	0.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508321	0	0.1
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508309	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508304	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508299	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508285	0	0.2
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508272	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508251	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508243	0	0.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508230	0	0.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508221	0	0.3
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508219	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508212	1	0.9
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508203	0	0.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508189	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508186	1	1.0
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508161	1	1.0
