ID	Chr	Pos	Strand	Score
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508574	-	2.42040765723572
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508561	-	1.52324223630232
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508531	-	-0.217320517152666
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508516	-	0.516021725801309
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508506	-	-1.5949530614343
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508490	-	0.598703945003266
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508468	-	1.11352274137325
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508455	-	2.85543073478706
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508450	-	3.09067591188352
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508446	-	3.64379694365318
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508422	-	-0.386128358887733
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508410	-	1.11953032717842
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508403	-	2.31286451139021
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508380	-	3.54278492397848
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508378	-	2.42237700202096
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508373	-	2.49395947834673
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508363	-	2.08199099072964
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508348	-	1.22869151250822
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508333	-	0.222451316704216
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508331	-	-0.443470869600047
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508322	-	1.21246931762962
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508310	-	3.16903555886809
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508305	-	2.97455261345401
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508300	-	2.72832649795704
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508286	-	-0.0375809559614755
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508273	-	3.46781221081848
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508252	-	2.44171152753634
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508244	-	-0.100429409957353
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508231	-	-0.461080414637374
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508222	-	0.922548266778747
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508220	-	2.16521418738769
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508213	-	3.00306889956429
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508204	-	0.460508412985482
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508190	-	3.4135644351526
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508187	-	3.2910708102536
c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	NC_000913.3	3508162	-	3.16090378589846
