read_id	chrm	strand	pos	mod_log_prob	can_log_prob	mod_base
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3508081	-0.017404668307094084	-4.059706527650224	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3508065	-0.06508901261656552	-2.7643675094148814	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3508051	-0.026150611451815742	-3.656929518217609	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3508049	-0.014782224998103999	-4.221711841406857	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3508047	-0.06283949691821711	-2.7984266918247838	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3508041	-0.039040397682979844	-3.2626150242250045	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3508029	-0.015183389719207518	-4.195135319521767	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3508011	-0.2897340680279179	-1.380163518185694	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507990	-0.04989530215031479	-3.0226723482856133	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507984	-0.025497564189730593	-3.681894047019091	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507981	-0.008914228154586645	-4.72456041280228	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507979	-0.011655328682037336	-4.4578138100138665	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507975	-0.021862883418009904	-3.8338764268078998	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507966	-0.03677219030962364	-3.3213431719728863	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507957	-0.026961169923397588	-3.626807896544793	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507937	-0.0305213397272861	-3.5045510323200824	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507933	-0.006536807233092468	-5.033573046582339	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507926	-0.02449329763040442	-3.7215774171690654	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507919	-0.02927523297602619	-3.545615318113188	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507907	-0.020827600460530338	-3.881871952427215	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507902	-1.9084746943207938	-0.16052847270893073	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507900	-0.1354114292537576	-2.066379331737362	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507896	-0.017007763178059854	-4.082577210580378	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507881	-0.010212060216674423	-4.589287567816867	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507879	-0.027099194571712282	-3.6217702710145123	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507868	-0.02424977947716389	-3.731448143065317	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507856	-0.008844475091718706	-4.7323812765137765	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507854	-0.008741116096130597	-4.744084772101991	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507851	-0.021756558052691943	-3.838698603509747	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507831	-0.036971893925914934	-3.316026271194582	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507790	-3.171169180333167	-0.04286002491569958	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507782	-0.00418984297887981	-5.477186210998199	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507759	-0.01545835921475458	-4.177324595378513	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507740	-0.018931847271608238	-3.9763607239078915	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507686	-0.009236734979756633	-4.689181625549119	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507670	-0.025369334663561283	-3.6868719817156608	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507642	-0.014586580411384276	-4.234937747724734	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507639	-0.7031034708408922	-0.6832890415751568	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507605	-0.06624728527207013	-2.7473015786871455	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507594	-0.021650865505277395	-3.8435157493468517	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507575	-0.019477397260829754	-3.948223492173382	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507554	-0.061031088699814884	-2.8267322432459094	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507551	-0.012962893715211976	-4.352138777828482	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507549	-0.013957244301041172	-4.278727106075179	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507539	-0.021650865505277395	-3.8435157493468517	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507534	-0.0032596753621128016	-5.727757065688746	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507530	-0.004833724557773422	-5.334553867253681	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507528	-0.006755496791032378	-5.0007746129454755	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507519	-0.027099194571712282	-3.6217702710145123	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507509	-0.015115598436751476	-4.199576338473227	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507507	-0.033743213381166814	-3.40580013217503	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507456	-1.8421448994867087	-0.17254210440981177	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507449	-0.8803297653733948	-0.5355387482666203	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507440	-0.03618063188833487	-3.3372671073233837	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507428	-0.017485420537600938	-4.05511782855799	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507411	-0.023304696522338464	-3.7707300900670604	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507398	-0.0321691378200164	-3.452789189224888	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507389	-0.03338567342669885	-3.4162748056857803	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507386	-0.008214601898346885	-4.805946478299513	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507380	-0.008844475091718706	-4.7323812765137765	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507378	-0.0171651662004777	-4.073443475939682	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507372	-0.03840595413128867	-3.278684294672381	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507340	-0.04850119513613782	-3.0503194236024114	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507312	-0.03840595413128867	-3.278684294672381	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507304	-0.022294599470753518	-3.814537395484109	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507295	-3.536384215135885	-0.02955077787988193	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507283	-0.011225079345884126	-4.495212066281348	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507274	-0.0023774445336970373	-6.042917580248879	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507269	-0.021029762400374796	-3.872313041606028	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507265	-0.02412912474565143	-3.736375976004764	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507262	-0.0288237028501781	-3.560934449455208	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507246	-0.02641748499951735	-3.646908841662083	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507239	-0.018148415283501862	-4.018232518425658	m
4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	NC_000913.3	-	3507235	-0.0330326094614497	-3.426730880355107	m
